gender,partner,dependents,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,seniorcitizen,tenure,monthlycharges,totalcharges,totchg_per_tenure,monthly_div_tot,customerid
0,1,1,1,0,0,2,2,0,2,0,0,0,0,0,-0.4270691509597626,-0.01794391602848494,-0.10786712983666312,-0.1832464045568615,-0.20914306785938624,-0.43855059388611745,5061-PBXFW
0,1,0,1,2,1,2,0,0,2,2,0,0,1,1,-0.4270691509597626,-0.875263203314763,1.0562972300638394,-0.46808667406739163,1.5474279323287443,-0.2744478066574572,3737-GCSPV
0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,-0.4270691509597626,1.1659731949858991,-1.5011845318440171,-0.4283925468736973,-1.4317954352716604,-0.5025926240843064,1830-IPXVJ
0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.4270691509597626,-1.038562115178816,0.1748107104265334,-0.7812957223651515,0.3017958172608873,-0.07092199280622384,5605-IYGFG
0,0,1,1,0,2,1,1,1,1,1,1,1,0,1,-0.4270691509597626,0.6760764593937402,-1.5112204314983317,-0.6013977712589446,-1.5215639868117992,-0.48089874144818073,2821-WARNZ
0,1,1,1,2,1,0,2,2,2,2,2,1,1,2,-0.4270691509597626,1.2067979229519123,1.5447110132404867,2.0225591248008272,1.5222374145615971,-0.49851212054000327,2272-JKMSI
1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,-0.4270691509597626,-1.2835104829748953,-0.6631869107087418,-0.9899170619934288,-0.6570653901621183,3.027120274067248,8705-WZCYL
0,1,1,0,1,0,2,0,0,2,0,0,1,0,1,-0.4270691509597626,-0.8344384753487497,-1.0529143472846283,-0.8126343576816696,-0.914357043107615,-0.2894416440362778,2316-ESMLS
0,1,0,0,1,0,0,0,0,0,2,2,0,0,2,-0.4270691509597626,-1.2426857550088821,-0.6698775104782848,-0.9667344505782395,-0.5323683047281134,1.0894995366140874,7615-ESMYF
1,0,0,1,0,1,0,0,0,0,0,0,0,1,3,-0.4270691509597626,-1.2835104829748953,0.23168080846765,-0.9780597989847037,0.23244048593378347,3.027120274067248,6140-QNRQQ
1,0,0,1,2,1,2,0,2,2,2,2,2,1,2,2.341541171383314,1.329272106849952,1.4861682652569843,2.1410209393459394,1.489617317112431,-0.5015766801394906,2307-FYNNL
0,1,0,1,0,0,2,2,2,2,2,2,1,1,0,-0.4270691509597626,1.5742204746460315,0.6749330431998815,1.6702321901284887,0.6848860047451281,-0.506292318738763,0310-SUCIN
0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,-0.4270691509597626,-1.038562115178816,0.3588022040889691,-0.7594872236724686,0.5355137831029078,-0.07833002968633737,0840-DFEZH
0,1,1,0,1,0,0,2,2,2,2,2,2,1,2,-0.4270691509597626,1.6150452026120448,-0.15470132822346488,0.8802946795547013,-0.17748963640407855,-0.5061284574728883,9880-TDQAC
1,1,0,1,2,1,0,0,2,0,2,0,0,1,2,-0.4270691509597626,-1.2426857550088821,0.8973954855371903,-0.9337779083465122,0.703795468874322,1.3549473080728691,4927-WWOOZ
1,1,1,1,2,1,2,0,2,0,2,0,1,0,0,-0.4270691509597626,-0.05876864399449818,1.1181852779321129,0.3564031225449044,1.1592750379273487,-0.44254892421332376,5150-LJNSR
1,0,1,1,0,0,0,0,0,0,0,0,1,0,3,-0.4270691509597626,-0.6303148355186835,-0.6698775104782848,-0.7077363654942015,-0.8139392137198782,-0.3219913754148487,5160-UXJED
0,0,0,1,2,1,0,2,2,0,0,0,0,1,0,2.341541171383314,-0.22206755585855115,0.7301304912986124,0.05451942265360902,0.8102960166561061,-0.42752487986895477,0141-YEAYS
